Пол;Возраст;Зарплата;Ищет работу на должность;Город;Занятость;График;Опыт;Последнее/нынешнее место работы;Последняя/нынешняя должность;Выполняемые задачи на прошлых местах работ;Обо мне;Ключевые навыки;Образование и ВУЗ
М;30;136000;Machine Learning Engineer;Махачкала;Полная занятость;Полный рабочий день;3 года;AILabs;Machine Learning Engineer;Разработка и обучение моделей машинного обучения для анализа данных в сфере медицины.;Инженер с опытом работы в анализе медицинских данных и ML-моделях.;Python, scikit-learn, TensorFlow, медицинские данные;Высшее образование, Дагестанский Медицинский Университет
М;28;105000;AI Trader;Астана;Полная занятость;Полный рабочий день;2 года 9 месяцев;Trade Intelligence;AI Trader;Разработка AI-моделей для прогнозирования движения цен на рынке, оптимизация торговых стратегий.;Трейдер с опытом работы в финансовом анализе и машинном обучении.;Python, scikit-learn, финансовый анализ;Высшее образование, Евразийский Национальный Университет.
Ж;28;76000;AI E-commerce Specialist;Астана;Полная занятость;Полный рабочий день;2 года 6 месяцев;E-commerce Tech;AI E-commerce Specialist;Анализ поведения покупателей, рекомендательные системы, персонализированный маркетинг.;Специалист по электронной коммерции с опытом работы в анализе данных и персонализации.;Python, R, анализ поведения покупателей;Высшее образование, Евразийский Национальный Университет.
М;30;124000;AI Agriculture Engineer;Астана;Полная занятость;Полный рабочий день;3 года;AgroTech Solutions;AI Agriculture Engineer;Разработка моделей для анализа сельскохозяйственных данных, оптимизация урожайности и планирование выращивания.;Инженер по сельскому хозяйству с опытом работы в анализе данных и управлении урожайностью.;Python, scikit-learn, сельскохозяйственные данные;Высшее образование, Евразийский Национальный Университет.
Ж;28;80000;AI Music Analyst;Астана;Полная занятость;Полный рабочий день;2 года 7 месяцев;MusicTech Solutions;AI Music Analyst;Анализ музыкальных данных, создание персонализированных плейлистов, прогнозирование популярности треков.;Аналитик музыкальных данных с опытом в анализе данных и музыкальной индустрии.;Python, R, музыкальные данные;Высшее образование, Евразийский Национальный Университет.
Ж;28;82000;AI Entertainment Analyst;Астана;Полная занятость;Полный рабочий день;2 года 7 месяцев;Entertainment Insights;AI Entertainment Analyst;Анализ данных в индустрии развлечений, прогнозирование успешных фильмов, музыки и шоу.;Аналитик индустрии развлечений с опытом в анализе данных и медиа.;Python, SQL, медиа данные;Высшее образование, Евразийский Национальный Университет.
Ж;28;80000;AI Fitness Analyst;Астана;Полная занятость;Полный рабочий день;2 года 7 месяцев;FitnessTech Solutions;AI Fitness Analyst;Анализ данных в индустрии фитнеса, прогнозирование успеха тренировок, создание персональных планов.;Аналитик фитнес-индустрии с опытом в анализе данных и тренировках.;Python, R, фитнес данные;Высшее образование, Евразийский Национальный Университет.
Ж;28;80000;AI Language Teacher;Астана;Полная занятость;Полный рабочий день;2 года 7 месяцев;LanguageTech Solutions;AI Language Teacher;Разработка интеллектуальных систем для обучения языкам, персонализированный контент, оценка успеваемости.;Преподаватель языков с опытом в разработке образовательных технологий.;Python, NLP, образовательные данные;Высшее образование, Евразийский Национальный Университет.
Ж;28;82000;AI Wellness Analyst;Астана;Полная занятость;Полный рабочий день;2 года 7 месяцев;WellnessTech Solutions;AI Wellness Analyst;Анализ данных в индустрии здоровья и благополучия, прогнозирование трендов, создание индивидуальных планов.;Аналитик индустрии здоровья с опытом в анализе данных и фитнесе.;Python, R, медицинские данные;Высшее образование, Евразийский Национальный Университет.
Ж;28;82000;AI Music Engineer;Астана;Полная занятость;Полный рабочий день;2 года 7 месяцев;MusicTech Innovations;AI Music Engineer;Разработка моделей для анализа музыкальных данных, создание новых треков, оптимизация звука.;Инженер по музыке с опытом в анализе данных и музыкальной продукции.;Python, R, музыкальные данные;Высшее образование, Евразийский Национальный Университет.
Ж;28;82000;AI Elderly Care Specialist;Астана;Полная занятость;Полный рабочий день;2 года 7 месяцев;ElderlyCareTech Solutions;AI Elderly Care Specialist;Анализ данных об уходе за пожилыми, определение потребностей, создание индивидуальных планов.;Специалист по уходу за пожилыми с опытом в анализе данных и медицине.;Python, R, медицинские данные;Высшее образование, Евразийский Национальный Университет.
Ж;28;82000;AI Elderly Care Specialist;Астана;Полная занятость;Полный рабочий день;2 года 7 месяцев;ElderlyCareTech Solutions;AI Elderly Care Specialist;Анализ данных об уходе за пожилыми, определение потребностей, создание индивидуальных планов.;Специалист по уходу за пожилыми с опытом в анализе данных и медицине.;Python, R, медицинские данные;Высшее образование, Евразийский Национальный Университет.
Ж;27;78000;AI Healthcare Data Analyst;Астана;Полная занятость;Полный рабочий день;2 года 4 месяца;HealthTech Solutions;AI Healthcare Data Analyst;Анализ медицинских данных, выявление закономерностей, определение эффективности лечения.;Специалист по анализу медицинских данных с опытом в обработке и анализе информации.;Python, медицинские данные, статистика;Высшее образование, Евразийский Национальный Университет.
М;30;190000;AI Language Translation Specialist;Астана;Полная занятость;Полный рабочий день;2 года 8 месяцев;TranslationTech Solutions;AI Language Translation Specialist;Разработка моделей автоматического перевода, обработка текста на разных языках.;Специалист по автоматическому переводу с опытом в анализе данных и машинном переводе.;Python, машинное обучение, обработка текста;Высшее образование, Евразийский Национальный Университет.
М;28;172000;AI Natural Resource Management Specialist;Астана;Полная занятость;Полный рабочий день;2 года 3 месяца;ResourceTech Solutions;AI Natural Resource Management Specialist;Анализ данных по управлению природными ресурсами, оптимизация использования и охраны.;Специалист по управлению природными ресурсами с опытом в анализе данных и экологии.;Python, природные данные, управление ресурсами;Высшее образование, Евразийский Национальный Университет.
Ж;28;75000;Machine Learning Engineer;Ереван;Полная занятость;Полный рабочий день;1 год 9 месяцев;ArmeniaAI;Machine Learning Engineer;Разработка и обучение моделей машинного обучения для анализа данных, создание дашбордов в Power BI.;Инженер, специализирующийся на машинном обучении и анализе данных.;Python, TensorFlow, scikit-learn, SQL, Power BI, AutoKeras, AutoML.;Высшее образование, Ереванский Государственный Университет
Ж;28;75000;Machine Learning Engineer;Ереван;Полная занятость;Полный рабочий день;1 год 9 месяцев;ArmeniaAI;Machine Learning Engineer;Разработка и обучение моделей машинного обучения для анализа данных, создание дашбордов в Power BI.;Инженер, специализирующийся на машинном обучении и анализе данных.;Python, TensorFlow, scikit-learn, SQL, Power BI, AutoKeras, AutoML.;Высшее образование, Ереванский Государственный Университет
Ж;28;75000;Machine Learning Engineer;Ереван;Полная занятость;Полный рабочий день;1 год 9 месяцев;ArmeniaAI;Machine Learning Engineer;Разработка и обучение моделей машинного обучения для анализа данных, создание дашбордов в Power BI.;Инженер, специализирующийся на машинном обучении и анализе данных.;Python, TensorFlow, scikit-learn, SQL, Power BI, AutoKeras, AutoML.;Высшее образование, Ереванский Государственный Университет
Ж;28;75000;Machine Learning Engineer;Ереван;Полная занятость;Полный рабочий день;1 год 9 месяцев;ArmeniaAI;Machine Learning Engineer;Разработка и обучение моделей машинного обучения для анализа данных, создание дашбордов в Power BI.;Инженер, специализирующийся на машинном обучении и анализе данных.;Python, TensorFlow, scikit-learn, SQL, Power BI, AutoKeras, AutoML.;Высшее образование, Ереванский Государственный Университет
Ж;28;75000;Machine Learning Engineer;Ереван;Полная занятость;Полный рабочий день;1 год 9 месяцев;ArmeniaAI;Machine Learning Engineer;Разработка и обучение моделей машинного обучения для анализа данных, создание дашбордов в Power BI.;Инженер, специализирующийся на машинном обучении и анализе данных.;Python, TensorFlow, scikit-learn, SQL, Power BI, AutoKeras, AutoML.;Высшее образование, Ереванский Государственный Университет
Ж;28;75000;Machine Learning Engineer;Ереван;Полная занятость;Полный рабочий день;1 год 9 месяцев;ArmeniaAI;Machine Learning Engineer;Разработка и обучение моделей машинного обучения для анализа данных, создание дашбордов в Power BI.;Инженер, специализирующийся на машинном обучении и анализе данных.;Python, TensorFlow, scikit-learn, SQL, Power BI, AutoKeras, AutoML.;Высшее образование, Ереванский Государственный Университет
М;29;78000;ChatGPT Specialist;Ереван;Полная занятость;Полный рабочий день;2 года 6 месяцев;AIHub;ChatGPT Specialist;Разработка и дообучение моделей GPT, оптимизация диалоговых систем, создание пользовательских интерфейсов.;Специалист по дообучению и оптимизации моделей GPT.;Python, PyTorch, Hugging Face Transformers, natural language processing;Высшее образование, Ереванский Государственный Университет
М;29;78000;ChatGPT Specialist;Ереван;Полная занятость;Полный рабочий день;2 года 6 месяцев;AIHub;ChatGPT Specialist;Разработка и дообучение моделей GPT, оптимизация диалоговых систем, создание пользовательских интерфейсов.;Специалист по дообучению и оптимизации моделей GPT.;Python, PyTorch, Hugging Face Transformers, natural language processing;Высшее образование, Ереванский Государственный Университет
Ж;28;78000;Data Scientist;Ереван;Полная занятость;Полный рабочий день;2 года;DataTech;Data Scientist;Разработка и обучение моделей машинного обучения для анализа данных.;Ученый-аналитик с опытом работы в ML-моделях и анализе данных.;Python, scikit-learn, pandas, машинное обучение;Высшее образование, Ереванский Государственный Университет
М;30;98000;Machine Learning Engineer;Ереван;Полная занятость;Полный рабочий день;3 года;AILabs;Machine Learning Engineer;Разработка и обучение моделей машинного обучения для анализа данных в сфере медицины.;Инженер с опытом работы в анализе медицинских данных и ML-моделях.;Python, scikit-learn, TensorFlow, медицинские данные;Высшее образование, Ереванский Государственный Университет
М;30;106000;Machine Learning Engineer;Ереван;Полная занятость;Полный рабочий день;3 года;AILabs;Machine Learning Engineer;Разработка и обучение моделей машинного обучения для анализа данных в сфере медицины.;Инженер с опытом работы в анализе медицинских данных и ML-моделях.;Python, scikit-learn, TensorFlow, медицинские данные;Высшее образование, Ереванский Государственный Университет
М;30;114000;Machine Learning Engineer;Ереван;Полная занятость;Полный рабочий день;3 года;AILabs;Machine Learning Engineer;Разработка и обучение моделей машинного обучения для анализа данных в сфере медицины.;Инженер с опытом работы в анализе медицинских данных и ML-моделях.;Python, scikit-learn, TensorFlow, медицинские данные;Высшее образование, Ереванский Государственный Университет
М;30;122000;Machine Learning Engineer;Ереван;Полная занятость;Полный рабочий день;3 года;AILabs;Machine Learning Engineer;Разработка и обучение моделей машинного обучения для анализа данных в сфере медицины.;Инженер с опытом работы в анализе медицинских данных и ML-моделях.;Python, scikit-learn, TensorFlow, медицинские данные;Высшее образование, Ереванский Государственный Университет
М;29;140000;Machine Learning Engineer;Ереван;Полная занятость;Полный рабочий день;3 года;DataMinds;Machine Learning Engineer;Разработка и обучение моделей машинного обучения для предсказания событий и цен акций.;Инженер с опытом работы в анализе данных и ML-моделях для финансового анализа.;Python, scikit-learn, TensorFlow, анализ финансовых данных;Высшее образование, Ереванский Государственный Университет
Ж;29;76000;Data Analyst;Ереван;Полная занятость;Полный рабочий день;2 года 5 месяцев;DataWave;Data Analyst;Анализ данных, создание отчетов, поддержка принятия решений на основе данных.;Аналитик данных с опытом работы в сфере анализа данных и создании отчетов.;SQL, Tableau, Python, визуализация данных;Высшее образование, Ереванский Государственный Университет
Ж;29;76000;Data Analyst;Ереван;Полная занятость;Полный рабочий день;2 года 5 месяцев;DataWave;Data Analyst;Анализ данных, создание отчетов, поддержка принятия решений на основе данных.;Аналитик данных с опытом работы в сфере анализа данных и создании отчетов.;SQL, Tableau, Python, визуализация данных;Высшее образование, Ереванский Государственный Университет
Ж;29;76000;Data Analyst;Ереван;Полная занятость;Полный рабочий день;2 года 5 месяцев;DataWave;Data Analyst;Анализ данных, создание отчетов, поддержка принятия решений на основе данных.;Аналитик данных с опытом работы в сфере анализа данных и создании отчетов.;SQL, Tableau, Python, визуализация данных;Высшее образование, Ереванский Государственный Университет
Ж;29;76000;Data Analyst;Ереван;Полная занятость;Полный рабочий день;2 года 5 месяцев;DataWave;Data Analyst;Анализ данных, создание отчетов, поддержка принятия решений на основе данных.;Аналитик данных с опытом работы в сфере анализа данных и создании отчетов.;SQL, Tableau, Python, визуализация данных;Высшее образование, Ереванский Государственный Университет
Ж;29;76000;Data Analyst;Ереван;Полная занятость;Полный рабочий день;2 года 5 месяцев;DataWave;Data Analyst;Анализ данных, создание отчетов, поддержка принятия решений на основе данных.;Аналитик данных с опытом работы в сфере анализа данных и создании отчетов.;SQL, Tableau, Python, визуализация данных;Высшее образование, Ереванский Государственный Университет
Ж;29;76000;Data Analyst;Ереван;Полная занятость;Полный рабочий день;2 года 5 месяцев;DataWave;Data Analyst;Анализ данных, создание отчетов, поддержка принятия решений на основе данных.;Аналитик данных с опытом работы в сфере анализа данных и создании отчетов.;SQL, Tableau, Python, визуализация данных;Высшее образование, Ереванский Государственный Университет
Ж;29;76000;Data Analyst;Ереван;Полная занятость;Полный рабочий день;2 года 5 месяцев;DataWave;Data Analyst;Анализ данных, создание отчетов, поддержка принятия решений на основе данных.;Аналитик данных с опытом работы в сфере анализа данных и создании отчетов.;SQL, Tableau, Python, визуализация данных;Высшее образование, Ереванский Государственный Университет
Ж;29;76000;Data Analyst;Ереван;Полная занятость;Полный рабочий день;2 года 5 месяцев;DataWave;Data Analyst;Анализ данных, создание отчетов, поддержка принятия решений на основе данных.;Аналитик данных с опытом работы в сфере анализа данных и создании отчетов.;SQL, Tableau, Python, визуализация данных;Высшее образование, Ереванский Государственный Университет
М;31;149000;Machine Learning Engineer;Ереван;Полная занятость;Полный рабочий день;3 года;ArmeniaAI;Machine Learning Engineer;Разработка и обучение моделей машинного обучения для анализа данных в медицинской сфере.;Инженер с опытом работы в анализе медицинских данных и ML-моделях.;Python, scikit-learn, TensorFlow, медицинские данные;Высшее образование, Ереванский Государственный Университет
М;30;130000;AI Data Analyst;Ереван;Полная занятость;Полный рабочий день;2 года 7 месяцев;Data Insights;AI Data Analyst;Анализ больших данных для предсказания медицинских событий, создание дашбордов для визуализации.;Аналитик данных с опытом работы в медицинской аналитике и визуализации.;Python, SQL, Tableau, медицинские данные;Высшее образование, Ереванский Государственный Университет.
М;29;120000;AI Healthcare Analyst;Ереван;Полная занятость;Полный рабочий день;3 года 2 месяца;MediTech Solutions;AI Healthcare Analyst;Анализ медицинских данных для определения эффективности лечения, прогнозирование заболеваний.;Аналитик медицинских данных с опытом в анализе и медицинском прогнозировании.;Python, scikit-learn, медицинские данные;Высшее образование, Ереванский Государственный Университет.
М;26;90000;AI ChatGPT Trainer;Ереван;Полная занятость;Полный рабочий день;2 года;AITech Academy;AI ChatGPT Trainer;Обучение и дообучение моделей GPT для улучшения качества генерации текста.;Специалист по дообучению GPT с опытом в анализе данных и обработке текста.;Python, transformers, обработка естественного языка;Высшее образование, Ереванский Государственный Университет.
М;27;83000;AI NLP Specialist;Ереван;Полная занятость;Полный рабочий день;2 года 6 месяцев;NLPTech Solutions;AI NLP Specialist;Разработка и анализ моделей обработки естественного языка (NLP), создание текстовых алгоритмов.;Специалист по NLP с опытом в анализе данных и обработке текста.;Python, NLP, обработка текста;Высшее образование, Ереванский Государственный Университет.
М;31;134000;Machine Learning Engineer;Иваново;Полная занятость;Полный рабочий день;3 года;AILabs;Machine Learning Engineer;Разработка и обучение моделей машинного обучения для анализа данных в сфере медицины.;Инженер с опытом работы в анализе медицинских данных и ML-моделях.;Python, scikit-learn, TensorFlow, медицинские данные;Высшее образование, Ивановский Государственный Медицинский Университет
М;30;120000;Machine Learning Engineer;Ижевск;Полная занятость;Полный рабочий день;3 года;SmartAI;Machine Learning Engineer;Разработка и обучение моделей глубокого обучения для анализа данных в сфере медицины.;Инженер с опытом работы в анализе медицинских данных и ML-моделях.;Python, scikit-learn, TensorFlow, медицинские данные;Высшее образование, Ижевский Государственный Технический Университет
Ж;28;72000;Data Analyst;Иркутск;Полная занятость;Полный рабочий день;1 год 10 месяцев;DataWave;Data Analyst;Анализ данных, создание визуализаций, поддержка принятия решений на основе данных.;Аналитик с опытом работы в сфере анализа данных и визуализации.;SQL, Tableau, Python, визуализация данных;Высшее образование, Иркутский Государственный Университет
М;27;80000;Computer Vision Engineer;Казань;Полная занятость;Полный рабочий день;2 года 5 месяцев;ImageTech;Computer Vision Engineer;Разработка компьютерного зрения для обработки медицинских изображений, оптимизация алгоритмов, работа с большими объемами данных.;Инженер по компьютерному зрению с опытом работы в медицинских проектах.;Python, OpenCV, TensorFlow, image processing;Высшее образование, Казанский Государственный Университет
Ж;26;75000;Data Scientist;Казань;Полная занятость;Полный рабочий день;2 года 3 месяца;DataWave;Data Scientist;Анализ данных, создание моделей машинного обучения, статистический анализ, оптимизация бизнес-процессов.;Специалист по анализу данных и машинному обучению.;Python, R, SQL, pandas, scikit-learn;Высшее образование, Казанский Государственный Университет
М;25;70000;Junior Data Scientist;Казань;Полная занятость;Полный рабочий день;1 год 6 месяцев;DataTech;Junior Data Scientist;Построение базовых моделей машинного обучения, анализ данных, поддержка старших аналитиков.;Молодой аналитик данных, желающий развиваться в области машинного обучения.;Python, pandas, scikit-learn, SQL;Высшее образование, Казанский Федеральный Университет
М;30;148000;Machine Learning Engineer;Казань;Полная занятость;Полный рабочий день;3 года 3 месяца;MLRevolution;Machine Learning Engineer;Разработка и обучение моделей машинного обучения для анализа данных в сфере маркетинга.;Инженер с опытом работы в анализе маркетинговых данных и ML-моделях.;Python, scikit-learn, TensorFlow, маркетинговые данные;Высшее образование, Казанский Федеральный Университет
М;30;82000;Machine Learning Engineer;Алма-Ата;Полная занятость;Полный рабочий день;3 года;AILabs;Machine Learning Engineer;Разработка и обучение моделей машинного обучения для анализа данных в сфере медицины.;Инженер с опытом работы в анализе медицинских данных и ML-моделях.;Python, scikit-learn, TensorFlow, медицинские данные;Высшее образование, Казахский Государственный Медицинский Университет
М;29;80000;Machine Learning Engineer;Актау;Полная занятость;Полный рабочий день;2 года;SmartAI;Machine Learning Engineer;Разработка и обучение ML-моделей для оптимизации бизнес-процессов.;Инженер с опытом работы в ML-моделях и оптимизации бизнес-процессов.;Python, scikit-learn, TensorFlow, машинное обучение;Высшее образование, Казахский Национальный Университет
М;29;73000;Data Scientist;Астана;Полная занятость;Полный рабочий день;2 года;DataTech;Data Scientist;Разработка и обучение моделей машинного обучения для анализа данных.;Ученый-аналитик с опытом работы в ML-моделях и анализе данных.;Python, scikit-learn, pandas, машинное обучение;Высшее образование, Казахстанский Государственный Университет
Ж;29;85000;Data Analyst;Алматы;Полная занятость;Полный рабочий день;2 года 3 месяца;DataViz;Data Analyst;Анализ данных, создание визуализаций, оптимизация производственных процессов на основе данных.;Аналитик данных с опытом работы в анализе данных и визуализации для улучшения бизнес-процессов.;SQL, Tableau, Python, визуализация данных;Высшее образование, Казахстанский Национальный Университет
М;31;132000;Machine Learning Engineer;Калининград;Полная занятость;Полный рабочий день;3 года;AILabs;Machine Learning Engineer;Разработка и обучение моделей машинного обучения для анализа данных в сфере медицины.;Инженер с опытом работы в анализе медицинских данных и ML-моделях.;Python, scikit-learn, TensorFlow, медицинские данные;Высшее образование, Калининградский Государственный Медицинский Университет
Ж;29;78000;Data Engineer;Кемерово;Полная занятость;Полный рабочий день;2 года 7 месяцев;DataFlow;Data Engineer;Разработка ETL-процессов, оптимизация хранения данных, интеграция с внешними источниками данных.;Инженер данных с опытом работы в разработке эффективных ETL-процессов.;Python, SQL, ETL, базы данных, Linux;Высшее образование, Кемеровский Государственный Университет
М;30;160000;Machine Learning Engineer;Киев;Полная занятость;Полный рабочий день;3 года;UkraineAI;Machine Learning Engineer;Разработка и обучение моделей машинного обучения для анализа клиентских данных в сфере финансовых услуг.;Инженер с опытом работы в анализе данных в финансовой отрасли и ML-моделях.;Python, scikit-learn, TensorFlow, финансовые данные;Высшее образование, Киевский Государственный Университет
Ж;29;85000;Data Analyst;Киев;Полная занятость;Полный рабочий день;2 года 6 месяцев;UkraineData;Data Analyst;Анализ данных, создание визуализаций, поддержка принятия решений на основе данных.;Аналитик данных с опытом работы в сфере анализа данных и визуализации.;SQL, Tableau, Python, визуализация данных;Высшее образование, Киевский Государственный Университет
М;31;168000;Machine Learning Engineer;Киев;Полная занятость;Полный рабочий день;3 года;UkraineAI;Machine Learning Engineer;Разработка и обучение моделей машинного обучения для анализа клиентских данных в сфере финансовых услуг.;Инженер с опытом работы в анализе данных в финансовой отрасли и ML-моделях.;Python, scikit-learn, TensorFlow, финансовые данные;Высшее образование, Киевский Государственный Университет
М;32;172000;Machine Learning Engineer;Киев;Полная занятость;Полный рабочий день;3 года;UkraineAI;Machine Learning Engineer;Разработка и обучение моделей машинного обучения для анализа клиентских данных в сфере финансовых услуг.;Инженер с опытом работы в анализе данных в финансовой отрасли и ML-моделях.;Python, scikit-learn, TensorFlow, финансовые данные;Высшее образование, Киевский Государственный Университет
Ж;32;91000;Data Analyst;Киев;Полная занятость;Полный рабочий день;2 года 4 месяца;UkraineData;Data Analyst;Анализ данных, создание визуализаций, поддержка принятия решений на основе данных.;Аналитик данных с опытом работы в сфере анализа данных и визуализации.;SQL, Tableau, Python, визуализация данных;Высшее образование, Киевский Государственный Университет
М;34;178000;Machine Learning Engineer;Киев;Полная занятость;Полный рабочий день;3 года;UkraineAI;Machine Learning Engineer;Разработка и обучение моделей машинного обучения для анализа клиентских данных в сфере финансовых услуг.;Инженер с опытом работы в анализе данных в финансовой отрасли и ML-моделях.;Python, scikit-learn, TensorFlow, финансовые данные;Высшее образование, Киевский Государственный Университет
Ж;35;94000;Data Analyst;Киев;Полная занятость;Полный рабочий день;2 года 4 месяца;UkraineData;Data Analyst;Анализ данных, создание визуализаций, поддержка принятия решений на основе данных.;Аналитик данных с опытом работы в сфере анализа данных и визуализации.;SQL, Tableau, Python, визуализация данных;Высшее образование, Киевский Государственный Университет
М;36;184000;Machine Learning Engineer;Киев;Полная занятость;Полный рабочий день;3 года;UkraineAI;Machine Learning Engineer;Разработка и обучение моделей машинного обучения для анализа клиентских данных в сфере финансовых услуг.;Инженер с опытом работы в анализе данных в финансовой отрасли и ML-моделях.;Python, scikit-learn, TensorFlow, финансовые данные;Высшее образование, Киевский Государственный Университет
Ж;37;97000;Data Analyst;Киев;Полная занятость;Полный рабочий день;2 года 4 месяца;UkraineData;Data Analyst;Анализ данных, создание визуализаций, поддержка принятия решений на основе данных.;Анализ данных с опытом работы в сфере анализа данных и визуализации.;SQL, Tableau, Python, визуализация данных;Высшее образование, Киевский Государственный Университет
М;38;190000;Machine Learning Engineer;Киев;Полная занятость;Полный рабочий день;3 года;UkraineAI;Machine Learning Engineer;Разработка и обучение моделей машинного обучения для анализа клиентских данных в сфере финансовых услуг.;Инженер с опытом работы в анализе данных в финансовой отрасли и ML-моделях.;Python, scikit-learn, TensorFlow, финансовые данные;Высшее образование, Киевский Государственный Университет
Ж;39;100000;Data Analyst;Киев;Полная занятость;Полный рабочий день;2 года 4 месяца;UkraineData;Data Analyst;Анализ данных, создание визуализаций, поддержка принятия решений на основе данных.;Анализ данных с опытом работы в сфере анализа данных и визуализации.;SQL, Tableau, Python, визуализация данных;Высшее образование, Киевский Государственный Университет
М;40;196000;Machine Learning Engineer;Киев;Полная занятость;Полный рабочий день;3 года;UkraineAI;Machine Learning Engineer;Разработка и обучение моделей машинного обучения для анализа клиентских данных в сфере финансовых услуг.;Инженер с опытом работы в анализе данных в финансовой отрасли и ML-моделях.;Python, scikit-learn, TensorFlow, финансовые данные;Высшее образование, Киевский Государственный Университет
Ж;41;103000;Data Analyst;Киев;Полная занятость;Полный рабочий день;2 года 4 месяца;UkraineData;Data Analyst;Анализ данных, создание визуализаций, поддержка принятия решений на основе данных.;Анализ данных с опытом работы в сфере анализа данных и визуализации.;SQL, Tableau, Python, визуализация данных;Высшее образование, Киевский Государственный Университет
М;42;202000;Machine Learning Engineer;Киев;Полная занятость;Полный рабочий день;3 года;UkraineAI;Machine Learning Engineer;Разработка и обучение моделей машинного обучения для анализа клиентских данных в сфере финансовых услуг.;Инженер с опытом работы в анализе данных в финансовой отрасли и ML-моделях.;Python, scikit-learn, TensorFlow, финансовые данные;Высшее образование, Киевский Государственный Университет
Ж;43;106000;Data Analyst;Киев;Полная занятость;Полный рабочий день;2 года 4 месяца;UkraineData;Data Analyst;Анализ данных, создание визуализаций, поддержка принятия решений на основе данных.;Анализ данных с опытом работы в сфере анализа данных и визуализации.;SQL, Tableau, Python, визуализация данных;Высшее образование, Киевский Государственный Университет
